sample_id	PC1	PC2	PC3	PC4	PC5	run_clean	age_group	bam_path	run_key	age_group_clean	geo_accession_exp	biosample	experiment	age_group_geo	sample_name_geo	source_name	developmental_stage	gsm_id	ogv_id	cell	predicted_configuration
SRR12212449	-8.604480978356762	-0.3432495116840208	3.254330312987642	-2.9391260858740282	-3.8316641002437124	SRR12212449	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212449.Aligned.sortedByCoord.out.bam	SRR12212449	young	GSM4669743	SAMN15520686	SRX8723053	young	GSM4669743	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669743	yGV_17A	yGV_17A	SN
SRR12212450	7.883064807618033	3.935367004101631	12.183590674812931	-3.4204068124169154	2.245713446816766	SRR12212450	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212450.Aligned.sortedByCoord.out.bam	SRR12212450	young	GSM4669744	SAMN15520685	SRX8723054	young	GSM4669744	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669744	yGV_17	yGV_17	SN
SRR12212451	-4.615119531769823	1.5965188914454085	2.6300698954736688	1.6693200413611269	-0.2908819237260978	SRR12212451	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212451.Aligned.sortedByCoord.out.bam	SRR12212451	young	GSM4669745	SAMN15520684	SRX8723055	young	GSM4669745	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669745	yGV_18A	yGV_18A	SN
SRR12212452	-4.625885742447712	1.6234868157747522	18.69127820116243	-0.2512900320335146	-0.36653247783771437	SRR12212452	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212452.Aligned.sortedByCoord.out.bam	SRR12212452	young	GSM4669746	SAMN15520683	SRX8723056	young	GSM4669746	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669746	yGV_18	yGV_18	SN
SRR12212453	2.166467343622782	-0.37752790193485514	-3.741264908503997	-4.884371453463526	0.6438836536216818	SRR12212453	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212453.Aligned.sortedByCoord.out.bam	SRR12212453	young	GSM4669747	SAMN15520682	SRX8723057	young	GSM4669747	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669747	yGV_19A	yGV_19A	SN
SRR12212454	-3.1864266850694647	1.8219364465559014	0.5133447723205355	-0.8523738659709866	0.4598697550417466	SRR12212454	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212454.Aligned.sortedByCoord.out.bam	SRR12212454	young	GSM4669748	SAMN15520681	SRX8723058	young	GSM4669748	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669748	yGV_19	yGV_19	SN
SRR12212455	8.890054043706632	-0.3419074022419965	-10.903289482573104	-20.4206840211843	-7.909939348438088	SRR12212455	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212455.Aligned.sortedByCoord.out.bam	SRR12212455	young	GSM4669749	SAMN15520680	SRX8723059	young	GSM4669749	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669749	yGV_1A	yGV_1A	NSN
SRR12212456	1.4386265900252875	3.3753880698461716	18.736066538114624	-8.896396466279986	0.6370848488512184	SRR12212456	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212456.Aligned.sortedByCoord.out.bam	SRR12212456	young	GSM4669750	SAMN15520679	SRX8723060	young	GSM4669750	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669750	yGV_1	yGV_1	SN
SRR12212457	-4.835149592424175	0.757730441457176	-5.245213467150074	-0.4824268715169684	-2.0162274786401087	SRR12212457	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212457.Aligned.sortedByCoord.out.bam	SRR12212457	young	GSM4669751	SAMN15520678	SRX8723061	young	GSM4669751	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669751	yGV_20A	yGV_20A	SN
SRR12212458	0.1117365561108402	4.671082317801383	-3.7033569829879953	2.527512042585588	4.265541438933392	SRR12212458	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212458.Aligned.sortedByCoord.out.bam	SRR12212458	young	GSM4669752	SAMN15520677	SRX8723062	young	GSM4669752	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669752	yGV_20	yGV_20	SN
