run_clean	age_group	bam_path	run_key	age_group_clean	geo_accession_exp	biosample	experiment	age_group_geo	sample_name_geo	source_name	developmental_stage	gsm_id	ogv_id	cell	predicted_configuration
SRR12212438	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212438.Aligned.sortedByCoord.out.bam	SRR12212438	old	GSM4669732	SAMN15520613	SRX8723042	old	GSM4669732	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669732	oGV_44	oGV_44	NSN
SRR12212439	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212439.Aligned.sortedByCoord.out.bam	SRR12212439	old	GSM4669733	SAMN15520612	SRX8723043	old	GSM4669733	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669733	oGV_45A	oGV_45A	NSN
SRR12212440	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212440.Aligned.sortedByCoord.out.bam	SRR12212440	old	GSM4669734	SAMN15520611	SRX8723044	old	GSM4669734	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669734	oGV_45	oGV_45	NSN
SRR12212441	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212441.Aligned.sortedByCoord.out.bam	SRR12212441	old	GSM4669735	SAMN15520610	SRX8723045	old	GSM4669735	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669735	oGV_46A	oGV_46A	NSN
SRR12212442	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212442.Aligned.sortedByCoord.out.bam	SRR12212442	old	GSM4669736	SAMN15520609	SRX8723046	old	GSM4669736	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669736	oGV_46	oGV_46	SN
SRR12212443	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212443.Aligned.sortedByCoord.out.bam	SRR12212443	old	GSM4669737	SAMN15520608	SRX8723047	old	GSM4669737	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669737	oGV_47A	oGV_47A	NSN
SRR12212444	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212444.Aligned.sortedByCoord.out.bam	SRR12212444	old	GSM4669738	SAMN15520607	SRX8723048	old	GSM4669738	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669738	oGV_47	oGV_47	SN
SRR12212446	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212446.Aligned.sortedByCoord.out.bam	SRR12212446	old	GSM4669740	SAMN15520605	SRX8723050	old	GSM4669740	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669740	oGV_48	oGV_48	NSN
SRR12212447	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212447.Aligned.sortedByCoord.out.bam	SRR12212447	old	GSM4669741	SAMN15520604	SRX8723051	old	GSM4669741	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669741	oGV_9A	oGV_9A	NSN
SRR12212448	old	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212448.Aligned.sortedByCoord.out.bam	SRR12212448	old	GSM4669742	SAMN15520603	SRX8723052	old	GSM4669742	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669742	oGV_9	oGV_9	NSN
